,city_services,events,housing_cost,schools,streets_sidewalks,trust_police
132,3,3,4,4,1,5
53,5,4,1,3,4,3
110,5,5,2,2,5,4
89,4,4,2,4,4,4
33,4,5,1,3,4,4
68,4,4,1,3,4,4
4,5,5,4,3,3,3
131,5,5,3,5,5,4
81,5,5,2,5,5,5
26,3,3,4,3,2,3
77,4,3,5,5,1,5
123,5,4,3,4,4,4
2,5,5,3,3,3,3
103,5,5,4,4,4,4
113,5,3,3,4,4,3
92,5,5,2,3,4,4
10,3,3,2,3,2,3
27,3,5,3,3,5,5
13,4,3,2,4,4,5
121,4,4,2,4,4,4
116,3,3,2,2,3,3
130,5,5,2,2,4,4
85,5,5,3,3,2,3
44,4,4,2,4,2,3
80,5,3,3,3,3,4
114,5,5,2,3,3,3
102,5,4,4,4,3,3
23,4,4,3,5,5,5
84,5,5,2,3,5,5
133,5,5,1,5,5,5
60,4,4,4,4,3,4
63,4,5,4,3,2,3
30,5,3,3,3,5,3
7,5,5,4,4,4,4
1,3,3,2,3,4,5
142,5,5,3,2,5,5
